FarmID,Farm ID,Sampling,Test,GreaterLess,Concentration (unedited),Concentration,Micro Notes
R1,1,A,MSC,,1.5,1.5,
R2,2,A,MSC,>,250,250,TNTC
R3,3,A,MSC,,8.5,8.5,
R4,4,A,MSC,,3.5,3.5,
R5,5,A,MSC,>,250,250,TNTC
R6,6,A,MSC,,1.5,1.5,
R7,7,A,MSC,,0.5,0.5,
R8,8,A,MSC,,1.5,1.5,
R9,9,A,MSC,,2.5,2.5,
R10,10,A,MSC,,5.5,5.5,
R11,11,A,MSC,,11.5,11.5,
R12,12,A,MSC,,98.5,98.5,
R13,13,A,MSC,,3,3,
R14,14,A,MSC,,2,2,
R15,15,A,MSC,,6.5,6.5,
R16,16,A,MSC,,0.5,0.5,
R17,17,A,MSC,,3.5,3.5,
R18,18,A,MSC,,49.5,49.5,
R19,19,A,MSC,,4.5,4.5,
R20,20,A,MSC,,2.5,2.5,
R21,21,A,MSC,,4.5,4.5,
R22,22,A,MSC,,0.5,0.5,
R23,23,A,MSC,,6,6,
R24,24,A,MSC,,10.5,10.5,
R25,25,A,MSC,,2.5,2.5,
R1,1,A,TSC,,1,1,
R2,2,A,TSC,,0.5,0.5,
R3,3,A,TSC,,11,11,
R4,4,A,TSC,,2.5,2.5,
R5,5,A,TSC,,5.5,5.5,
R6,6,A,TSC,,1,1,
R7,7,A,TSC,,1,1,
R8,8,A,TSC,,0.5,0.5,
R9,9,A,TSC,,1.5,1.5,
R10,10,A,TSC,,1.5,1.5,
R11,11,A,TSC,,5.5,5.5,
R12,12,A,TSC,,0.5,0.5,
R13,13,A,TSC,,1.5,1.5,
R14,14,A,TSC,,3,3,
R15,15,A,TSC,,6.5,6.5,
R16,16,A,TSC,,2.5,2.5,
R17,17,A,TSC,,3.5,3.5,
R18,18,A,TSC,,25.5,25.5,
R21,21,A,TSC,,1.5,1.5,
R19,19,A,TSC,,6,6,
R20,20,A,TSC,,3,3,
R22,22,A,TSC,,1,1,
R23,23,A,TSC,,3,3,
R24,24,A,TSC,,9.5,9.5,
R25,25,A,TSC,,6,6,
R26,26,A,MSC,,2,2,
R27,27,A,MSC,<,0.5,0.125,
R28,28,A,MSC,,11.5,11.5,
R29,29,A,MSC,,1,1,
R30,30,A,MSC,,4,4,
R31,31,A,MSC,,2.5,2.5,
R32,32,A,MSC,,2.5,2.5,
R33,33,A,MSC,,11.5,11.5,
R34,34,A,MSC,,17,17,
R35,35,A,MSC,,19,19,
R36,36,A,MSC,,11.5,11.5,
R37,37,A,MSC,,4.5,4.5,
R38,38,A,MSC,,4.5,4.5,
R39,39,A,MSC,,2.5,2.5,
R40,40,A,MSC,,15,15,
R41,41,A,MSC,,3,3,
R42,42,A,MSC,,54.5,54.5,
R43,43,A,MSC,,10,10,
R44,44,A,MSC,,28,28,
R45,45,A,MSC,,8,8,
R46,46,A,MSC,,27.5,27.5,
R47,47,A,MSC,,6,6,
R48,48,A,MSC,,34,34,
R49,49,A,MSC,,9.5,9.5,
R50,50,A,MSC,,4,4,
R26,26,A,TSC,<,0.5,0.125,
R27,27,A,TSC,<,0.5,0.125,
R28,28,A,TSC,,4,4,
R29,29,A,TSC,<,0.5,0.125,
R30,30,A,TSC,,11,11,
R31,31,A,TSC,,1.5,1.5,
R32,32,A,TSC,<,0.5,0.125,
R33,33,A,TSC,,6,6,
R34,34,A,TSC,,16,16,
R35,35,A,TSC,,21,21,
R36,36,A,TSC,,1.5,1.5,
R37,37,A,TSC,,1.5,1.5,
R38,38,A,TSC,,4,4,
R39,39,A,TSC,,4,4,
R40,40,A,TSC,,9,9,
R41,41,A,TSC,,1,1,
R42,42,A,TSC,,111,111,
R43,43,A,TSC,,6,6,
R44,44,A,TSC,,19,19,
R45,45,A,TSC,,10,10,Estimated
R46,46,A,TSC,,2,2,
R47,47,A,TSC,,10.5,10.5,
R48,48,A,TSC,,25,25,
R49,49,A,TSC,,4.5,4.5,
R50,50,A,TSC,,2,2,
R53,53,A,MSC,,1,1,
R52,52,A,MSC,,1,1,
R51,51,A,MSC,,0.5,0.5,
R56,56,A,MSC,,0.5,0.5,
R55,55,A,MSC,,0.5,0.5,
R54,54,A,MSC,,1,1,
R58,58,A,MSC,,0.5,0.5,
R57,57,A,MSC,,1,1,
R59,59,A,MSC,,8,8,
R60,60,A,MSC,,10,10,
R61,61,A,MSC,,12,12,
R62,62,A,MSC,,6.5,6.5,
R63,63,A,MSC,<,0.5,0.125,
R64,64,A,MSC,<,0.5,0.125,
R65,65,A,MSC,,0.5,0.5,
R66,66,A,MSC,<,0.5,0.125,
R67,67,A,MSC,,5.5,5.5,
R68,68,A,MSC,,3.5,3.5,
R69,69,A,MSC,<,0.5,0.125,
R70,70,B,MSC,<,0.5,0.125,
R71,71,B,MSC,,3,3,
R72,72,B,MSC,,3.5,3.5,
R73,73,B,MSC,,8.5,8.5,
R74,74,B,MSC,,13,13,
R75,75,B,MSC,,6,6,
R51,51,A,TSC,<,0.5,0.125,
R52,52,A,TSC,<,0.5,0.125,
R53,53,A,TSC,,1.5,1.5,
R54,54,A,TSC,<,0.5,0.125,
R55,55,A,TSC,,5,5,
R56,56,A,TSC,<,0.5,0.125,
R57,57,A,TSC,,0.5,0.5,
R58,58,A,TSC,<,0.5,0.125,
R59,59,A,TSC,,3,3,
R60,60,A,TSC,,29,29,
R61,61,A,TSC,,8,8,
R62,62,A,TSC,,14.5,14.5,
R63,63,A,TSC,,2.5,2.5,
R64,64,A,TSC,<,0.5,0.125,
R65,65,A,TSC,,0.5,0.5,
R66,66,A,TSC,<,0.5,0.125,
R67,67,A,TSC,<,0.5,0.125,
R68,68,A,TSC,,0.5,0.5,
R69,69,A,TSC,<,0.5,0.125,
R70,70,B,TSC,,1.5,1.5,
R71,71,B,TSC,,0.5,0.5,
R72,72,B,TSC,,1,1,
R73,73,B,TSC,,4,4,
R74,74,B,TSC,,4.5,4.5,
R75,75,B,TSC,,4,4,
R29,29,B,TSC,<,0.5,0.125,
R30,30,B,TSC,,12.5,12.5,
R31,31,B,TSC,,4.5,4.5,
R32,32,B,TSC,,0.5,0.5,
R33,33,B,TSC,,5,5,
R34,34,B,TSC,,23,23,
R35,35,B,TSC,,16,16,
R37,37,B,TSC,,2.5,2.5,
R38,38,B,TSC,,5,5,
R42,42,B,TSC,,9,9,
R53,53,B,TSC,,7.5,7.5,
R54,54,B,TSC,,5,5,
R29,29,B,MSC,,1.5,1.5,
R30,30,B,MSC,,20.5,20.5,
R31,31,B,MSC,,3.5,3.5,
R32,32,B,MSC,,0.5,0.5,
R33,33,B,MSC,,6,6,
R34,34,B,MSC,,25.5,25.5,
R35,35,B,MSC,,14,14,
R37,37,B,MSC,,15.5,15.5,
R38,38,B,MSC,,3.5,3.5,
R42,42,B,MSC,,37,37,
R53,53,B,MSC,,16,16,
R54,54,B,MSC,,4.5,4.5,
R36,36,B,MSC,<,0.5,0.125,
R51,51,B,MSC,,4.5,4.5,
R76,76,B,MSC,<,0.5,0.125,
R77,77,B,MSC,,3.5,3.5,
R36,36,B,TSC,,1,1,
R51,51,B,TSC,,4,4,
R76,76,B,TSC,,0.5,0.5,
R77,77,B,TSC,,0.5,0.5,
R1,1,B,MSC,,4,4,
R2,2,B,MSC,,1,1,
R3,3,B,MSC,,18.5,18.5,
R4,4,B,MSC,,6,6,
R5,5,B,MSC,,6.5,6.5,
R6,6,B,MSC,,9,9,
R7,7,B,MSC,,15.5,15.5,
R8,8,B,MSC,,3.5,3.5,
R9,9,B,MSC,,2.5,2.5,
R10,10,B,MSC,,1,1,
R11,11,B,MSC,,6,6,
R12,12,B,MSC,,5,5,
R13,13,B,MSC,,5,5,
R39,39,B,MSC,,8,8,
R40,40,B,MSC,,5,5,
R41,41,B,MSC,,17.5,17.5,
R44,44,B,MSC,,5.5,5.5,
R45,45,B,MSC,,31,31,
R46,46,B,MSC,,5.5,5.5,
R47,47,B,MSC,,4.5,4.5,
R48,48,B,MSC,,19.5,19.5,
R49,49,B,MSC,,3.5,3.5,
R78,78,B,MSC,,12,12,
R79,79,B,MSC,,7,7,
R80,80,B,MSC,,2,2,
R1,1,B,TSC,,2,2,
R2,2,B,TSC,<,0.5,0.125,
R3,3,B,TSC,,11.5,11.5,
R4,4,B,TSC,,9,9,
R5,5,B,TSC,,3.5,3.5,
R6,6,B,TSC,,7,7,
R7,7,B,TSC,,13,13,
R8,8,B,TSC,<,0.5,0.125,
R9,9,B,TSC,,2,2,
R10,10,B,TSC,,0.5,0.5,
R11,11,B,TSC,,7,7,
R12,12,B,TSC,,2,2,
R13,13,B,TSC,,1,1,
R39,39,B,TSC,,5,5,
R40,40,B,TSC,,6,6,
R41,41,B,TSC,,10,10,
R44,44,B,TSC,,3.5,3.5,
R45,45,B,TSC,,19.5,19.5,
R46,46,B,TSC,,4.5,4.5,
R47,47,B,TSC,,6.5,6.5,
R48,48,B,TSC,,15,15,
R49,49,B,TSC,,4,4,
R78,78,B,TSC,,8,8,
R79,79,B,TSC,,6,6,
R80,80,B,TSC,,0.5,0.5,
R14,14,B,MSC,,1,1,
R15,15,B,MSC,,10,10,
R16,16,B,MSC,,3.5,3.5,
R17,17,B,MSC,,10.5,10.5,
R18,18,B,MSC,,41.5,41.5,
R19,19,B,MSC,,13,13,
R20,20,B,MSC,,1,1,
R21,21,B,MSC,,3.5,3.5,
R22,22,B,MSC,,1.5,1.5,
R23,23,B,MSC,,4.5,4.5,
R24,24,B,MSC,,95,95,
R25,25,B,MSC,,62,62,
R26,26,B,MSC,,7,7,
R27,27,B,MSC,,7,7,
R28,28,B,MSC,<,0.5,0.125,
R50,50,B,MSC,,2,2,
R55,55,B,MSC,,1.5,1.5,
R58,58,B,MSC,,8,8,
R59,59,B,MSC,,10.5,10.5,
R60,60,B,MSC,,9,9,
R61,61,B,MSC,,3.5,3.5,
R62,62,B,MSC,,1,1,
R63,63,B,MSC,,2,2,
R65,65,B,MSC,,1,1,
R66,66,B,MSC,,0.5,0.5,
R14,14,B,TSC,<,0.5,0.125,
R15,15,B,TSC,,6,6,
R16,16,B,TSC,<,0.5,0.125,
R17,17,B,TSC,,3.5,3.5,
R18,18,B,TSC,,7.5,7.5,
R19,19,B,TSC,,3.5,3.5,
R20,20,B,TSC,<,0.5,0.125,
R21,21,B,TSC,,3,3,
R22,22,B,TSC,,0.5,0.5,
R23,23,B,TSC,,2.5,2.5,
R24,24,B,TSC,,6.5,6.5,
R25,25,B,TSC,,2.5,2.5,
R26,26,B,TSC,,1.5,1.5,
R27,27,B,TSC,,4.5,4.5,
R28,28,B,TSC,,0.5,0.5,
R50,50,B,TSC,<,0.5,0.125,
R55,55,B,TSC,<,0.5,0.125,
R58,58,B,TSC,,2.5,2.5,
R59,59,B,TSC,,2,2,
R60,60,B,TSC,,26.5,26.5,
R61,61,B,TSC,<,0.5,0.125,
R62,62,B,TSC,,16.5,16.5,
R63,63,B,TSC,<,0.5,0.125,
R65,65,B,TSC,<,0.5,0.125,
R66,66,B,TSC,<,0.5,0.125,
R86,86,A,MSC,,3,3,
R68,68,B,MSC,<,0.5,0.125,
R69,69,B,MSC,<,0.5,0.125,
R81,81,B,MSC,,34.5,34.5,
R82,82,B,MSC,,12.5,12.5,
R83,83,B,MSC,,26,26,
R84,84,B,MSC,,30.5,30.5,
R85,85,B,MSC,,10.5,10.5,
R86,86,B,MSC,,7.5,7.5,
R87,87,B,MSC,,4.5,4.5,
R88,88,B,MSC,,7.5,7.5,
R89,89,B,MSC,,8.5,8.5,
R90,90,B,MSC,,3.5,3.5,
R29,29,C,MSC,,4.5,4.5,
R30,30,C,MSC,,34.5,34.5,
R31,31,C,MSC,,0.5,0.5,
R32,32,C,MSC,,1,1,
R35,35,C,MSC,,2.5,2.5,
R36,36,C,MSC,,10,10,
R37,37,C,MSC,,1,1,
R42,42,C,MSC,,35,35,
R38,38,C,MSC,,71.5,71.5,
R54,54,C,MSC,,9,9,
R70,70,C,MSC,,3,3,
R71,71,C,MSC,,0.5,0.5,
R86,86,A,TSC,,1,1,
R68,68,B,TSC,<,0.5,0.125,
R69,69,B,TSC,<,0.5,0.125,
R81,81,B,TSC,,5,5,
R82,82,B,TSC,,2,2,
R83,83,B,TSC,,7,7,
R84,84,B,TSC,,4,4,
R85,85,B,TSC,,3,3,
R86,86,B,TSC,,2.5,2.5,
R87,87,B,TSC,,7.5,7.5,
R88,88,B,TSC,<,0.5,0.125,
R89,89,B,TSC,,1.5,1.5,
R29,29,C,TSC,<,0.5,0.125,
R30,30,C,TSC,,6.5,6.5,
R90,90,B,TSC,,0.5,0.5,
R31,31,C,TSC,<,0.5,0.125,
R32,32,C,TSC,,1,1,
R35,35,C,TSC,,4,4,
R36,36,C,TSC,<,0.5,0.125,
R37,37,C,TSC,,2.5,2.5,
R38,38,C,TSC,,8.5,8.5,
R42,42,C,TSC,,24.5,24.5,
R54,54,C,TSC,,11.5,11.5,
R70,70,C,TSC,,2.5,2.5,
R71,71,C,TSC,,0.5,0.5,
R22,22,C,MSC,,2.5,2.5,
R23,23,C,MSC,,1.5,1.5,
R24,24,C,MSC,,11.5,11.5,
R25,25,C,MSC,,7.5,7.5,
R26,26,C,MSC,,1,1,
R27,27,C,MSC,,1,1,
R28,28,C,MSC,,9,9,
R34,34,C,MSC,,24,24,
R40,40,C,MSC,,4,4,
R41,41,C,MSC,,7.5,7.5,
R51,51,C,MSC,<,0.5,0.125,
R72,72,C,MSC,,2.5,2.5,
R73,73,C,MSC,,3.5,3.5,
R74,74,C,MSC,,12.5,12.5,
R75,75,C,MSC,,11,11,
R91,91,C,MSC,,4.5,4.5,
R92,92,C,MSC,,16,16,
R93,93,C,MSC,,6,6,
R94,94,C,MSC,,0.5,0.5,
R95,95,C,MSC,,31,31,
R96,96,C,MSC,,8.5,8.5,
R97,97,C,MSC,,3,3,
R98,98,C,MSC,,0.5,0.5,
R99,99,C,MSC,,8,8,
R100,100,C,MSC,,24.5,24.5,
R22,22,C,TSC,,3,3,
R23,23,C,TSC,,3,3,
R24,24,C,TSC,,8,8,
R25,25,C,TSC,,1.5,1.5,
R26,26,C,TSC,,2.5,2.5,
R27,27,C,TSC,<,0.5,0.125,
R28,28,C,TSC,,8.5,8.5,
R34,34,C,TSC,,11,11,
R40,40,C,TSC,,5.5,5.5,
R41,41,C,TSC,,5,5,
R51,51,C,TSC,<,0.5,0.125,
R72,72,C,TSC,,1.5,1.5,
R73,73,C,TSC,<,0.5,0.125,
R74,74,C,TSC,,5,5,
R75,75,C,TSC,,2.5,2.5,
R91,91,C,TSC,,8,8,
R92,92,C,TSC,,10.5,10.5,
R93,93,C,TSC,,8,8,
R94,94,C,TSC,,0.5,0.5,
R95,95,C,TSC,,12.5,12.5,
R96,96,C,TSC,,6,6,
R97,97,C,TSC,,2.5,2.5,
R98,98,C,TSC,<,0.5,0.125,
R99,99,C,TSC,,5,5,
R100,100,C,TSC,,24.5,24.5,
R1,1,C,MSC,,1,1,
R2,2,C,MSC,,0.5,0.5,
R3,3,C,MSC,,21.5,21.5,
R4,4,C,MSC,,34,34,
R5,5,C,MSC,,5.5,5.5,
R6,6,C,MSC,,12,12,
R7,7,C,MSC,,1,1,
R8,8,C,MSC,,3,3,SPREADER
R9,9,C,MSC,,31.5,31.5,
R10,10,C,MSC,,14.5,14.5,
R11,11,C,MSC,,2,2,
R12,12,C,MSC,,4.5,4.5,
R13,13,C,MSC,,8.5,8.5,SPREADER
R14,14,C,MSC,,3,3,
R15,15,C,MSC,,20,20,
R16,16,C,MSC,,14,14,
R17,17,C,MSC,,11,11,
R18,18,C,MSC,,50.5,50.5,SPREADER
R19,19,C,MSC,,18,18,
R20,20,C,MSC,,1.5,1.5,
R21,21,C,MSC,,48,48,
R33,33,C,MSC,<,0.5,0.125,
R39,39,C,MSC,,7,7,
R52,52,C,MSC,,4.5,4.5,
R53,53,C,MSC,,10,10,
R1,1,C,TSC,,2,2,
R2,2,C,TSC,,0.5,0.5,
R3,3,C,TSC,,9,9,
R4,4,C,TSC,,12,12,
R5,5,C,TSC,<,0.5,0.125,
R6,6,C,TSC,,3,3,
R7,7,C,TSC,<,0.5,0.125,
R8,8,C,TSC,<,0.5,0.125,
R9,9,C,TSC,,21.5,21.5,
R10,10,C,TSC,,5.5,5.5,
R11,11,C,TSC,,1,1,
R12,12,C,TSC,,4.5,4.5,
R13,13,C,TSC,,3.5,3.5,
R14,14,C,TSC,,2.5,2.5,
R15,15,C,TSC,,16.5,16.5,
R16,16,C,TSC,,14,14,
R17,17,C,TSC,,6,6,
R18,18,C,TSC,,17.5,17.5,
R19,19,C,TSC,,10.5,10.5,
R20,20,C,TSC,<,0.5,0.125,
R21,21,C,TSC,,31,31,
R33,33,C,TSC,,2,2,
R39,39,C,TSC,,6.5,6.5,
R52,52,C,TSC,,5.5,5.5,
R53,53,C,TSC,,7.5,7.5,
R44,44,C,MSC,,12.5,12.5,
R45,45,C,MSC,,6,6,
R46,46,C,MSC,,29.5,29.5,
R47,47,C,MSC,,4,4,
R48,48,C,MSC,,45.5,45.5,
R49,49,C,MSC,,6.5,6.5,
R50,50,C,MSC,,5.5,5.5,
R57,57,C,MSC,,5,5,
R58,58,C,MSC,,16.5,16.5,
R59,59,C,MSC,,10,10,
R60,60,C,MSC,,4,4,
R61,61,C,MSC,,6,6,
R62,62,C,MSC,,16.5,16.5,
R63,63,C,MSC,,3.5,3.5,
R65,65,C,MSC,,3.5,3.5,
R78,78,C,MSC,,33,33,
R79,79,C,MSC,,47,47,
R80,80,C,MSC,,54,54,
R81,81,C,MSC,,7.5,7.5,
R82,82,C,MSC,,17,17,
R83,83,C,MSC,,18.5,18.5,
R84,84,C,MSC,,13.5,13.5,
R87,87,C,MSC,,8,8,
R88,88,C,MSC,,3,3,
R89,89,C,MSC,,13,13,
R44,44,C,TSC,,22,22,
R45,45,C,TSC,,4.5,4.5,
R46,46,C,TSC,,12.5,12.5,
R47,47,C,TSC,,2.5,2.5,
R48,48,C,TSC,,26.5,26.5,
R49,49,C,TSC,,6.5,6.5,
R50,50,C,TSC,,1,1,
R57,57,C,TSC,,6.5,6.5,
R58,58,C,TSC,,8.5,8.5,
R59,59,C,TSC,,16.5,16.5,
R60,60,C,TSC,,8,8,
R61,61,C,TSC,,5,5,
R62,62,C,TSC,,21,21,
R63,63,C,TSC,,1.5,1.5,
R65,65,C,TSC,,1.5,1.5,
R78,78,C,TSC,,33.5,33.5,
R79,79,C,TSC,,41,41,
R80,80,C,TSC,,22.5,22.5,
R81,81,C,TSC,,7,7,
R82,82,C,TSC,,6.5,6.5,
R83,83,C,TSC,,11.5,11.5,
R84,84,C,TSC,,11,11,
R87,87,C,TSC,,9,9,
R88,88,C,TSC,,3,3,
R89,89,C,TSC,,12,12,
R56,56,C,MSC,,3.5,3.5,
R67,67,C,MSC,,8,8,
R68,68,C,MSC,,0.5,0.5,
R69,69,C,MSC,<,0.5,0.125,
R77,77,C,MSC,,3,3,
R85,85,C,MSC,,11.5,11.5,
R86,86,C,MSC,,5.5,5.5,
R90,90,C,MSC,,3.5,3.5,
R101,101,C,MSC,,36.5,36.5,
R102,102,C,MSC,,59,59,
R56,56,C,TSC,,1,1,
R67,67,C,TSC,,1,1,
R68,68,C,TSC,<,0.5,0.125,
R69,69,C,TSC,<,0.5,0.125,
R77,77,C,TSC,,2,2,
R85,85,C,TSC,,18,18,
R86,86,C,TSC,,16.5,16.5,
R90,90,C,TSC,,1,1,
R101,101,C,TSC,,62.5,62.5,
R102,102,C,TSC,,7.5,7.5,
R29,29,D,MSC,,1,1,
R30,30,D,MSC,,1.5,1.5,
R31,31,D,MSC,,6,6,
R32,32,D,MSC,,19.5,19.5,
R35,35,D,MSC,,12,12,
R36,36,D,MSC,,5,5,
R37,37,D,MSC,,2,2,
R38,38,D,MSC,,6.5,6.5,
R39,39,D,MSC,,4,4,
R40,40,D,MSC,,14,14,
R41,41,D,MSC,,5,5,
R42,42,D,MSC,,79.5,79.5,
R54,54,D,MSC,,5.5,5.5,
R70,70,D,MSC,<,0.5,0.125,
R71,71,D,MSC,,8.5,8.5,
R91,91,D,MSC,,14,14,
R92,92,D,MSC,,3.5,3.5,
R93,93,D,MSC,,3,3,
R94,94,D,MSC,,13,13,
R95,95,D,MSC,,11.5,11.5,
R96,96,D,MSC,,13.5,13.5,
R97,97,D,MSC,,7,7,
R98,98,D,MSC,,5,5,
R99,99,D,MSC,,23,23,
R100,100,D,MSC,,20,20,
R29,29,D,TSC,<,0.5,0.125,
R30,30,D,TSC,,1.5,1.5,
R31,31,D,TSC,<,0.5,0.125,
R32,32,D,TSC,<,0.5,0.125,
R35,35,D,TSC,,5,5,
R36,36,D,TSC,,5,5,
R37,37,D,TSC,,2,2,
R38,38,D,TSC,,6,6,
R39,39,D,TSC,,12,12,
R40,40,D,TSC,,1.5,1.5,
R41,41,D,TSC,,7,7,
R42,42,D,TSC,,49.5,49.5,
R54,54,C,TSC,,3.5,3.5,
R70,70,D,TSC,<,0.5,0.125,
R71,71,D,TSC,,13.5,13.5,
R91,91,D,TSC,,6,6,
R92,92,D,TSC,,2,2,
R93,93,D,TSC,,2,2,
R94,94,D,TSC,,11,11,
R95,95,D,TSC,,16.5,16.5,
R96,96,D,TSC,,11.5,11.5,
R97,97,D,TSC,,4,4,
R98,98,D,TSC,,4,4,
R99,99,D,TSC,,17,17,
R100,100,D,TSC,,9,9,
R2,2,D,MSC,<,0.5,0.125,
R3,3,D,MSC,,9.5,9.5,
R4,4,D,MSC,,3.5,3.5,
R5,5,D,MSC,,2.5,2.5,
R6,6,D,MSC,,3.5,3.5,
R7,7,D,MSC,,4,4,
R8,8,D,MSC,,6,6,
R9,9,D,MSC,,3,3,
R10,10,D,MSC,,1,1,
R11,11,D,MSC,,4,4,
R12,12,D,MSC,,3.5,3.5,
R13,13,D,MSC,,18,18,
R14,14,D,MSC,,2,2,
R15,15,D,MSC,,5.5,5.5,
R16,16,D,MSC,,8.5,8.5,
R17,17,D,MSC,,7,7,
R18,18,D,MSC,,1,1,
R19,19,D,MSC,,29.5,29.5,
R20,20,D,MSC,,0.5,0.5,
R21,21,D,MSC,,9.5,9.5,
R22,22,D,MSC,,9,9,
R23,23,D,MSC,,8,8,
R24,24,D,MSC,,26.5,26.5,
R25,25,D,MSC,,2,2,
R1,1,D,MSC,,1.5,1.5,
R1,1,D,TSC,,1,1,
R2,2,D,TSC,,0.5,0.5,
R3,3,D,TSC,,4,4,
