FarmID,Farm ID,Sampling,Test,GreaterLess,Concentration (unedited),Concentration,Micro Notes
R4,4,D,TSC,,2.5,2.5,
R5,5,D,TSC,<,0.5,0.125,
R6,6,D,TSC,<,0.5,0.125,
R7,7,D,TSC,,3,3,
R8,8,D,TSC,,1.5,1.5,
R9,9,D,TSC,<,0.5,0.125,
R10,10,D,TSC,,1,1,
R11,11,D,TSC,,3,3,
R12,12,D,TSC,,1,1,
R13,13,D,TSC,,6,6,
R14,14,D,TSC,,1,1,
R15,15,D,TSC,,4.5,4.5,
R16,16,D,TSC,,3.5,3.5,
R17,17,D,TSC,,3,3,
R18,18,D,TSC,,0.5,0.5,
R19,19,D,TSC,,18.5,18.5,
R20,20,D,TSC,,1,1,
R21,21,D,TSC,,8.5,8.5,
R22,22,D,TSC,,4,4,
R23,23,D,TSC,,2.5,2.5,
R24,24,D,TSC,,7.5,7.5,
R25,25,D,TSC,,1,1,
R26,26,D,TSC,,1,1,
R27,27,D,TSC,,2.5,2.5,
R28,28,D,TSC,,1.5,1.5,
R33,33,D,TSC,,4,4,
R44,44,D,TSC,,5,5,
R45,45,D,TSC,,2.5,2.5,
R26,26,D,TSC,,6.5,6.5,
R27,27,D,TSC,,2.5,2.5,
R28,28,D,TSC,,6.5,6.5,
R33,33,D,TSC,,5.5,5.5,
R44,44,D,TSC,,11.5,11.5,
R45,45,D,TSC,,2,2,
R46,46,D,TSC,,6.5,6.5,
R47,47,D,TSC,,4,4,
R48,48,D,TSC,,12.5,12.5,
R49,49,D,TSC,,7.5,7.5,
R51,51,D,TSC,,5,5,
R53,53,D,TSC,,7,7,
R56,56,D,TSC,,8.5,8.5,
R58,58,D,TSC,,8,8,
R59,59,D,TSC,,3.5,3.5,
R60,60,D,TSC,,8,8,
R61,61,D,TSC,,3.5,3.5,
R62,62,D,TSC,,27,27,
R63,63,D,TSC,,7.5,7.5,
R65,65,D,TSC,,3,3,
R66,66,D,TSC,,1,1,
R67,67,D,TSC,,1,1,
R68,68,D,TSC,,0.5,0.5,
R69,69,D,TSC,<,0.5,0.125,
R72,72,D,TSC,,11.5,11.5,
R73,73,D,MSC,,29,29,
R74,74,D,MSC,,25,25,
R75,75,D,MSC,,19,19,
R76,76,D,MSC,,5,5,
R77,77,D,MSC,,0.5,0.5,
R78,78,D,MSC,,9,9,SPREADER
R79,79,D,MSC,,47,47,
R80,80,D,MSC,,31,31,
R83,83,D,MSC,,19,19,
R84,84,D,MSC,,10,10,
R85,85,D,MSC,,24.5,24.5,SPREADER
R86,86,D,MSC,,18.5,18.5,
R87,87,D,MSC,,10.5,10.5,
R88,88,D,MSC,,1,1,
R89,89,D,MSC,,27,27,
R90,90,D,MSC,,12,12,
R101,101,D,MSC,,46.5,46.5,
R76,76,C,MSC,,0.5,0.5,
R73,73,D,TSC,,8,8,
R74,74,D,TSC,,8,8,SPREADER
R75,75,D,TSC,,13,13,
R76,76,D,TSC,<,0.5,0.125,
R77,77,D,TSC,,0.5,0.5,
R78,78,D,TSC,,18.5,18.5,
R79,79,D,TSC,,24.5,24.5,
R80,80,D,TSC,,13,13,
R83,83,D,TSC,,13,13,
R84,84,D,TSC,,10,10,
R85,85,D,TSC,,21,21,
R86,86,D,TSC,,18.5,18.5,
R87,87,D,TSC,,8,8,
R88,88,D,TSC,,0.5,0.5,
R89,89,D,TSC,,15,15,
R90,90,D,TSC,,6,6,
R101,101,D,TSC,,21.5,21.5,
R76,76,C,TSC,<,0.5,0.125,
R73,73,D,APC,,1190,1190,
R74,74,D,APC,,1170,1170,
R75,75,D,APC,,1460,1460,
R76,76,D,APC,,530,530,
R77,77,D,APC,,660,660,
R78,78,D,APC,,700,700,
R79,79,D,APC,,1720,1720,
R80,80,D,APC,,2410,2410,
R83,83,D,APC,,1170,1170,
R84,84,D,APC,,6790,6790,
R85,85,D,APC,,5220,5220,
R86,86,D,APC,,1070,1070,
R87,87,D,APC,,220,220,
R88,88,D,APC,,630,630,
R89,89,D,APC,,9780,9780,
R90,90,D,APC,,1760,1760,
R101,101,D,APC,,1020,1020,
R76,76,C,APC,,180,180,
R29,29,E,MSC,<,0.5,0.125,
R30,30,E,MSC,,8,8,
R31,31,E,MSC,<,0.5,0.125,
R32,32,E,MSC,<,0.5,0.125,
R33,33,E,MSC,,198,198,
R34,34,E,MSC,,26,26,
R35,35,E,MSC,,16.5,16.5,
R36,36,E,MSC,,6,6,
R37,37,E,MSC,,3,3,
R39,39,E,MSC,<,0.5,0.125,
R40,40,E,MSC,,2,2,
R42,42,E,MSC,,296,296,
R44,44,E,MSC,,13,13,
R45,45,E,MSC,,17,17,
R46,46,E,MSC,,46,46,
R47,47,E,MSC,,2.5,2.5,
R48,48,E,MSC,,13.5,13.5,
R49,49,E,MSC,,15,15,
R50,50,E,MSC,,2.5,2.5,
R53,53,E,MSC,,2,2,
R54,54,E,MSC,,3.5,3.5,
R55,55,E,MSC,,2,2,
R58,58,E,MSC,,24.5,24.5,
R59,59,E,MSC,,43,43,
R29,29,E,TSC,<,0.5,0.125,
R30,30,E,TSC,,4,4,
R31,31,E,TSC,,1,1,
R32,32,E,TSC,<,0.5,0.125,
R33,33,E,TSC,,2.5,2.5,
R34,34,E,TSC,,8,8,
R35,35,E,TSC,,6,6,
R36,36,E,TSC,,2.5,2.5,
R37,37,E,TSC,,4,4,
R38,38,E,TSC,,6.5,6.5,
R39,39,E,TSC,,9,9,
R40,40,E,TSC,,6,6,
R42,42,E,TSC,,31,31,
R44,44,E,TSC,,4.5,4.5,SPREADER
R45,45,E,TSC,,3,3,
R46,46,E,TSC,,11,11,
R47,47,E,TSC,,2,2,SPREADER
R48,48,E,TSC,,3,3,
R49,49,E,TSC,,3,3,
R50,50,E,TSC,<,0.5,0.125,
R53,53,E,TSC,,5.5,5.5,
R54,54,E,TSC,,0.5,0.5,
R55,55,E,TSC,,2.5,2.5,
R58,58,E,TSC,,10,10,
R59,59,E,TSC,,16.5,16.5,
R29,29,E,APC,,650,650,
R30,30,E,APC,,540,540,
R31,31,E,APC,,530,530,
R32,32,E,APC,,770,770,
R33,33,E,APC,,1550,1550,
R34,34,E,APC,,4340,4340,
R35,35,E,APC,,670,670,
R36,36,E,APC,,370,370,
R37,37,E,APC,,4100,4100,
R38,38,E,APC,,5840,5840,
R39,39,E,APC,,1100,1100,
R40,40,E,APC,,1350,1350,
R42,42,E,APC,,3970,3970,
R44,44,E,APC,,450,450,
R45,45,E,APC,,1880,1880,
R46,46,E,APC,,1440,1440,
R47,47,E,APC,,23700,23700,
R48,48,E,APC,,700,700,
R49,49,E,APC,,1590,1590,
R50,50,E,APC,,1590,1590,
R53,53,E,APC,,3330,3330,
R54,54,E,APC,,850,850,
R55,55,E,APC,,1420,1420,
R58,58,E,APC,,560,560,
R59,59,E,APC,,660,660,
R60,60,E,APC,,2990,2990,
R61,61,E,APC,,140,140,
R62,62,E,APC,,560,560,
R63,63,E,APC,,1310,1310,
R65,65,E,APC,,690,690,
R70,70,E,APC,,1180,1180,
R71,71,E,APC,,480,480,
R72,72,E,APC,,1560,1560,
R73,73,E,APC,,460,460,
R74,74,E,APC,,15200,15200,
R75,75,E,APC,,540,540,
R78,78,E,APC,,1100,1100,
R79,79,E,APC,,142000,142000,
R80,80,E,APC,,860,860,
R81,81,E,APC,,2420,2420,
R82,82,E,APC,,1430,1430,
R83,83,E,APC,,570,570,
R84,84,E,APC,,7260,7260,
R87,87,E,APC,,270,270,
R88,88,E,APC,,320,320,
R89,89,E,APC,,210000,210000,
R90,90,E,APC,,550,550,
R91,91,E,APC,,210,210,
R92,92,E,APC,,6750,6750,
R93,93,E,APC,,200,200,
R60,60,E,LPC,,5,5,
R61,61,E,LPC,<,5,1.25,
R62,62,E,LPC,,55,55,
R63,63,E,LPC,,10,10,
R65,65,E,LPC,<,5,1.25,
R70,70,E,LPC,<,5,1.25,
R71,71,E,LPC,,55,55,
R72,72,E,LPC,,100,100,
R73,73,E,LPC,,55,55,
R74,74,E,LPC,,240,240,
R75,75,E,LPC,,45,45,
R78,78,E,LPC,,300,300,
R79,79,E,LPC,,11880,11880,(X4) Estimated
R80,80,E,LPC,,105,105,
R81,81,E,LPC,,30,30,
R82,82,E,LPC,,20,20,
R83,83,E,LPC,,40,40,
R84,84,E,LPC,,205,205,
R87,87,E,LPC,,15,15,
R88,88,E,LPC,,25,25,
R89,89,E,LPC,,795,795,
R90,90,E,LPC,,70,70,
R91,91,E,LPC,,50,50,
R92,92,E,LPC,,115,115,
R93,93,E,LPC,<,5,1.25,
R60,60,E,MSC,,2,2,
R61,61,E,MSC,,6,6,
R62,62,E,MSC,,19,19,
R63,63,E,MSC,,2.5,2.5,
R65,65,E,MSC,,0.5,0.5,
R70,70,E,MSC,,1,1,
R71,71,E,MSC,,7,7,
R72,72,E,MSC,,6.5,6.5,
R73,73,E,MSC,,8.5,8.5,
R74,74,E,MSC,,10,10,
R75,75,E,MSC,,20.5,20.5,
R78,78,E,MSC,,8.5,8.5,
R79,79,E,MSC,,10.5,10.5,
R80,80,E,MSC,,3,3,
R81,81,E,MSC,,35,35,
R82,82,E,MSC,,4.5,4.5,
R83,83,E,MSC,,10,10,
R84,84,E,MSC,,18.5,18.5,
R87,87,E,MSC,,4.5,4.5,
R88,88,E,MSC,,1.5,1.5,
R89,89,E,MSC,,5,5,
R90,90,E,MSC,,12,12,
R91,91,E,MSC,,15,15,
R92,92,E,MSC,,20,20,
R93,93,E,MSC,,7.5,7.5,
R60,60,E,TSC,,4.5,4.5,
R61,61,E,TSC,,2,2,
R62,62,E,TSC,,4,4,
R63,63,E,TSC,,2.5,2.5,
R65,65,E,TSC,<,0.5,0.125,
R70,70,E,TSC,<,0.5,0.125,
R71,71,E,TSC,,5.5,5.5,
R72,72,E,TSC,,3.5,3.5,
R73,73,E,TSC,,4.5,4.5,
R74,74,E,TSC,,4.5,4.5,
R75,75,E,TSC,,7.5,7.5,
R78,78,E,TSC,,16.5,16.5,
R79,79,E,TSC,,8,8,
R80,80,E,TSC,,2.5,2.5,
R81,81,E,TSC,,12.5,12.5,
R82,82,E,TSC,,2.5,2.5,
R83,83,E,TSC,,3.5,3.5,
R84,84,E,TSC,,6,6,
R87,87,E,TSC,,3.5,3.5,
R88,88,E,TSC,,3,3,
R89,89,E,TSC,,1.5,1.5,
R90,90,E,TSC,,16,16,
R91,91,E,TSC,,7.5,7.5,
R92,92,E,TSC,,13,13,
R93,93,E,TSC,,7.5,7.5,
R56,56,E,APC,,710,710,
R67,67,E,APC,,4850,4850,
R68,68,E,APC,,1920,1920,
R69,69,E,APC,,670,670,
R76,76,E,APC,,460,460,
R77,77,E,APC,,7610,7610,
R85,85,E,APC,,3240,3240,
R86,86,E,APC,,1710,1710,
R94,94,E,APC,,1440,1440,
R95,95,E,APC,,1520,1520,
R96,96,E,APC,,1560,1560,
R97,97,E,APC,,1580,1580,
R98,98,E,APC,,4840,4840,
R99,99,E,APC,,8190,8190,
R100,100,E,APC,,44400,44400,
R101,101,E,APC,,560,560,
R102,102,E,APC,,102000,102000,
R29,29,F,APC,,920,920,
R30,30,F,APC,,1020,1020,
R31,31,F,APC,,410,410,
R32,32,F,APC,,2380,2380,
R34,34,F,APC,,6030,6030,
R35,35,F,APC,,980,980,
R36,36,F,APC,,600,600,
R37,37,F,APC,,25000,25000,
R56,56,E,MSC,,12.5,12.5,
R67,67,E,MSC,,7.5,7.5,
R68,68,E,MSC,,2,2,
R69,69,E,MSC,,0.5,0.5,
R76,76,E,MSC,,0.5,0.5,
R77,77,E,MSC,,4.5,4.5,
R85,85,E,MSC,,11,11,
R86,86,E,MSC,,11,11,
R94,94,E,MSC,,2.5,2.5,
R95,95,E,MSC,,45.5,45.5,
R96,96,E,MSC,,29.5,29.5,
R97,97,E,MSC,,5.5,5.5,
R31,31,F,MSC,<,0.5,0.125,
R32,32,F,MSC,,40,40,
R35,35,F,MSC,<,0.5,0.125,
R37,37,F,MSC,,1.5,1.5,
R56,56,E,LPC,<,5,1.25,
R68,68,E,LPC,<,5,1.25,
R69,69,E,LPC,<,5,1.25,
R76,76,E,LPC,<,5,1.25,
R77,77,E,LPC,<,5,1.25,
R85,85,E,LPC,<,5,1.25,
R86,86,E,LPC,<,5,1.25,
R94,94,E,LPC,<,5,1.25,
R95,95,E,LPC,<,5,1.25,
R96,96,E,LPC,<,5,1.25,
R97,97,E,LPC,<,5,1.25,
R98,98,E,LPC,<,5,1.25,
R100,100,E,LPC,<,5,1.25,
R99,99,E,LPC,<,5,1.25,
R101,101,E,LPC,<,5,1.25,
R102,102,E,LPC,<,5,1.25,
R56,56,E,TSC,,18.5,18.5,
R67,67,E,TSC,,17,17,
R68,68,E,TSC,<,0.5,0.125,
R69,69,E,TSC,<,0.5,0.125,
R76,76,E,TSC,<,0.5,0.125,
R77,77,E,TSC,,3,3,
R86,86,E,TSC,,10,10,Estimated
R94,94,E,TSC,,5,5,Estimated
R95,95,E,TSC,,8.5,8.5,
R96,96,E,TSC,,14.5,14.5,
R97,97,E,TSC,,1.5,1.5,
R98,98,E,TSC,,2,2,
R99,99,E,TSC,<,0.5,0.125,
R100,100,E,TSC,<,0.5,0.125,
R101,101,E,TSC,,1,1,
R29,29,F,TSC,<,0.5,0.125,
R30,30,F,TSC,,1.5,1.5,
R31,31,F,TSC,,4.5,4.5,
R32,32,F,TSC,,2,2,
R34,34,F,TSC,,7.5,7.5,
R35,35,F,TSC,,6,6,
R37,37,F,TSC,<,0.5,0.125,
R1,1,E,LPC,,5,5,
R2,2,E,LPC,,65,65,
R3,3,E,LPC,,65,65,
R4,4,E,LPC,<,5,1.25,
R5,5,E,LPC,,65,65,
R6,6,E,LPC,,40,40,
R7,7,E,LPC,,35,35,
R8,8,E,LPC,,10,10,
R9,9,E,LPC,,5,5,
R10,10,E,LPC,<,5,1.25,
R11,11,E,LPC,,150,150,
R12,12,E,LPC,,95,95,
R13,13,E,LPC,,75,75,
R14,14,E,LPC,,10,10,
R15,15,E,LPC,,195,195,
R16,16,E,LPC,<,5,1.25,
R17,17,E,LPC,,5,5,
R18,18,E,LPC,,70,70,
R19,19,E,LPC,,225,225,
R20,20,E,LPC,,355,355,
R21,21,E,LPC,,30,30,
R22,22,E,LPC,,210,210,
R23,23,E,LPC,,30,30,
R24,24,E,LPC,,65,65,
R25,25,E,LPC,,25,25,
R1,1,E,MSC,,10,10,
R2,2,E,MSC,,5,5,
R3,3,E,MSC,,60,60,
R4,4,E,MSC,,10,10,
R5,5,E,MSC,,45,45,
R6,6,E,MSC,,45,45,
R7,7,E,MSC,,35,35,
R8,8,E,MSC,,160,160,
R9,9,E,MSC,,55,55,
R10,10,E,MSC,,10,10,
R11,11,E,MSC,,565,565,
R12,12,E,MSC,,20,20,
R13,13,E,MSC,,250,250,
R14,14,E,MSC,,20,20,
R15,15,E,MSC,,195,195,
R16,16,E,MSC,,10,10,
R17,17,E,MSC,,55,55,
R18,18,E,MSC,,15,15,
R19,19,E,MSC,,925,925,
R20,20,E,MSC,,35,35,
R21,21,E,MSC,,50,50,
R22,22,E,MSC,,90,90,
R23,23,E,MSC,,20,20,
R24,24,E,MSC,,130,130,
R25,25,E,MSC,,40,40,
R1,1,E,TSC,,0.5,0.5,
R2,2,E,TSC,<,0.5,0.125,
R3,3,E,TSC,,15.5,15.5,
R4,4,E,TSC,<,0.5,0.125,
R5,5,E,TSC,,1,1,
R6,6,E,TSC,,4.5,4.5,
R7,7,E,TSC,,1,1,
R8,8,E,TSC,,10,10,
R9,9,E,TSC,,6.5,6.5,
R10,10,E,TSC,<,0.5,0.125,
R11,11,E,TSC,,22,22,
R12,12,E,TSC,,1.5,1.5,
R13,13,E,TSC,,2.5,2.5,
R14,14,E,TSC,<,0.5,0.125,
R15,15,E,TSC,,5.5,5.5,
R16,16,E,TSC,,1.5,1.5,
R17,17,E,TSC,,1,1,
R18,18,E,TSC,,3.5,3.5,
R19,19,E,TSC,,31,31,
R20,20,E,TSC,,7,7,
R21,21,E,TSC,,4.5,4.5,
R22,22,E,TSC,,6,6,
R23,23,E,TSC,,5.5,5.5,
R24,24,E,TSC,,5.5,5.5,
R25,25,E,TSC,,3,3,
R31,31,F,MSC,<,0.5,0.125,
R32,32,F,MSC,,40,40,
R35,35,F,MSC,<,0.5,0.125,
R37,37,F,MSC,,1.5,1.5,
R38,38,F,MSC,,2.5,2.5,
R39,39,F,MSC,,0.5,0.5,
R40,40,F,MSC,,21.5,21.5,
R42,42,F,MSC,,111,111,
R46,46,F,MSC,,13.5,13.5,
R47,47,F,MSC,,17,17,
R48,48,F,MSC,,47.5,47.5,
R49,49,F,MSC,,4.5,4.5,
R53,53,F,MSC,,4,4,
R54,54,F,MSC,,154,154,
R71,71,F,MSC,,9.5,9.5,
R73,73,F,MSC,,13,13,
R74,74,F,MSC,,22,22,
R75,75,F,MSC,,10,10,
R91,91,F,MSC,,34,34,
R92,92,F,MSC,,18,18,
R93,93,F,MSC,,17.5,17.5,
R94,94,F,MSC,,3.5,3.5,
R95,95,F,MSC,,79.5,79.5,
R96,96,F,MSC,,2,2,
R97,97,F,MSC,,8.5,8.5,
R98,98,F,MSC,,13.5,13.5,
R99,99,F,MSC,,93,93,
R100,100,F,MSC,,86,86,
R38,38,F,TSC,,5,5,
R39,39,F,TSC,,4.5,4.5,
R40,40,F,TSC,,5.5,5.5,
R42,42,F,TSC,,51,51,
R46,46,F,TSC,,15.5,15.5,
R47,47,F,TSC,,21.5,21.5,
R48,48,F,TSC,,28,28,
R49,49,F,TSC,,8,8,
R53,53,F,TSC,,0.5,0.5,
R54,54,F,TSC,,10.5,10.5,
R71,71,F,TSC,,6.5,6.5,
R73,73,F,TSC,,7.5,7.5,
R74,74,F,TSC,,5,5,
R75,75,F,TSC,,0.5,0.5,
R91,91,F,TSC,,10.5,10.5,
R92,92,F,TSC,,13.5,13.5,
R93,93,F,TSC,,16,16,
R94,94,F,TSC,,3.5,3.5,
R95,95,F,TSC,,40.5,40.5,
R96,96,F,TSC,,0.5,0.5,
R97,97,F,TSC,,9,9,
R98,98,F,TSC,,3.5,3.5,
R99,99,F,TSC,,23.5,23.5,
R100,100,F,TSC,,12.5,12.5,
R38,38,F,APC,,50500,50500,
R39,39,F,APC,,750,750,
R40,40,F,APC,,1020,1020,
R42,42,F,APC,,2580,2580,
R46,46,F,APC,,2320,2320,
R47,47,F,APC,,12200,12200,
R48,48,F,APC,,180,180,
R49,49,F,APC,,290,290,
R53,53,F,APC,,3420,3420,
R54,54,F,APC,,1280,1280,
R71,71,F,APC,,1370,1370,
R73,73,F,APC,,3340,3340,
R74,74,F,APC,,670,670,
R75,75,F,APC,,540,540,
R91,91,F,APC,,1430,1430,
R92,92,F,APC,,470,470,
R93,93,F,APC,,500,500,
R94,94,F,APC,,2640,2640,
R95,95,F,APC,,1200,1200,
R96,96,F,APC,,690,690,
R97,97,F,APC,,830,830,
R98,98,F,APC,,880,880,
R99,99,F,APC,,2060,2060,
R100,100,F,APC,,2420,2420,
R26,26,E,LPC,,35,35,
R27,27,E,LPC,,65,65,
R28,28,E,LPC,,35,35,
R26,26,E,MSC,,3,3,
R27,27,E,MSC,,9.5,9.5,
R28,28,E,MSC,,3.5,3.5,
R1,1,F,MSC,,2,2,
R2,2,F,MSC,<,0.5,0.125,
R3,3,F,MSC,,7,7,
R4,4,F,MSC,,6.5,6.5,
R5,5,F,MSC,,8,8,SPREADER
R6,6,F,MSC,,7.5,7.5,
R7,7,F,MSC,<,0.5,0.125,
R8,8,F,MSC,,20.5,20.5,
R9,9,F,MSC,,8,8,
R10,10,F,MSC,,33,33,
R11,11,F,MSC,,15,15,
R12,12,F,MSC,,3.5,3.5,
R13,13,F,MSC,,1,1,
R14,14,F,MSC,,2.5,2.5,
R15,15,F,MSC,,22,22,
R16,16,F,MSC,,7.5,7.5,
R17,17,F,MSC,,5,5,
R18,18,F,MSC,,6.5,6.5,
R19,19,F,MSC,,12,12,
R20,20,F,MSC,,1,1,
R21,21,F,MSC,,4.5,4.5,
R22,22,F,MSC,,10,10,
R26,26,E,TSC,,2,2,
R27,27,E,TSC,,0.5,0.5,
R28,28,E,TSC,<,0.5,0.125,
R1,1,F,TSC,,1,1,
R2,2,F,TSC,,0.5,0.5,
R3,3,F,TSC,,9,9,
R4,4,F,TSC,,1.5,1.5,
R5,5,F,TSC,,7,7,
R6,6,F,TSC,,5.5,5.5,
R7,7,F,TSC,<,0.5,0.125,
R8,8,F,TSC,,4,4,
R9,9,F,TSC,,7,7,
R10,10,F,TSC,,1,1,
R11,11,F,TSC,,4.5,4.5,
R12,12,F,TSC,,0.5,0.5,
R13,13,F,TSC,<,0.5,0.125,
R14,14,F,TSC,,0.5,0.5,
R15,15,F,TSC,,9.5,9.5,
R16,16,F,TSC,,4,4,
R17,17,F,TSC,,3.5,3.5,
R18,18,F,TSC,,8,8,
R19,19,F,TSC,,9,9,
R20,20,F,TSC,,2,2,
R21,21,F,TSC,<,0.5,0.125,
R22,22,F,TSC,,8.5,8.5,
R66,66,E,MSC,,0.525,0.525,
R23,23,F,MSC,,2.63,2.63,
R24,24,F,MSC,,39.9,39.9,
R25,25,F,MSC,,1.58,1.58,
R26,26,F,MSC,<,0.5,0.125,
