FarmID,Sampling,Test,GreaterLess,Concentration,Micro Notes
R1,A,MSC,,1.5,
R2,A,MSC,>,250,TNTC
R3,A,MSC,,8.5,
R4,A,MSC,,3.5,
R5,A,MSC,>,250,TNTC
R6,A,MSC,,1.5,
R7,A,MSC,,0.5,
R8,A,MSC,,1.5,
R9,A,MSC,,2.5,
R10,A,MSC,,5.5,
R11,A,MSC,,11.5,
R12,A,MSC,,98.5,
R13,A,MSC,,3,
R14,A,MSC,,2,
R15,A,MSC,,6.5,
R16,A,MSC,,0.5,
R17,A,MSC,,3.5,
R18,A,MSC,,49.5,
R19,A,MSC,,4.5,
R20,A,MSC,,2.5,
R21,A,MSC,,4.5,
R22,A,MSC,,0.5,
R23,A,MSC,,6,
R24,A,MSC,,10.5,
R25,A,MSC,,2.5,
R1,A,TSC,,1,
R2,A,TSC,,0.5,
R3,A,TSC,,11,
R4,A,TSC,,2.5,
R5,A,TSC,,5.5,
R6,A,TSC,,1,
R7,A,TSC,,1,
R8,A,TSC,,0.5,
R9,A,TSC,,1.5,
R10,A,TSC,,1.5,
R11,A,TSC,,5.5,
R12,A,TSC,,0.5,
R13,A,TSC,,1.5,
R14,A,TSC,,3,
R15,A,TSC,,6.5,
R16,A,TSC,,2.5,
R17,A,TSC,,3.5,
R18,A,TSC,,25.5,
R21,A,TSC,,1.5,
R19,A,TSC,,6,
R20,A,TSC,,3,
R22,A,TSC,,1,
R23,A,TSC,,3,
R24,A,TSC,,9.5,
R25,A,TSC,,6,
R26,A,MSC,,2,
R27,A,MSC,<,0.125,
R28,A,MSC,,11.5,
R29,A,MSC,,1,
R30,A,MSC,,4,
R31,A,MSC,,2.5,
R32,A,MSC,,2.5,
R33,A,MSC,,11.5,
R34,A,MSC,,17,
R35,A,MSC,,19,
R36,A,MSC,,11.5,
R37,A,MSC,,4.5,
R38,A,MSC,,4.5,
R39,A,MSC,,2.5,
R40,A,MSC,,15,
R41,A,MSC,,3,
R42,A,MSC,,54.5,
R43,A,MSC,,10,
R44,A,MSC,,28,
R45,A,MSC,,8,
R46,A,MSC,,27.5,
R47,A,MSC,,6,
R48,A,MSC,,34,
R49,A,MSC,,9.5,
R50,A,MSC,,4,
R26,A,TSC,<,0.125,
R27,A,TSC,<,0.125,
R28,A,TSC,,4,
R29,A,TSC,<,0.125,
R30,A,TSC,,11,
R31,A,TSC,,1.5,
R32,A,TSC,<,0.125,
R33,A,TSC,,6,
R34,A,TSC,,16,
R35,A,TSC,,21,
R36,A,TSC,,1.5,
R37,A,TSC,,1.5,
R38,A,TSC,,4,
R39,A,TSC,,4,
R40,A,TSC,,9,
R41,A,TSC,,1,
R42,A,TSC,,111,
R43,A,TSC,,6,
R44,A,TSC,,19,
R45,A,TSC,,10,Estimated
R46,A,TSC,,2,
R47,A,TSC,,10.5,
R48,A,TSC,,25,
R49,A,TSC,,4.5,
R50,A,TSC,,2,
R53,A,MSC,,1,
R52,A,MSC,,1,
R51,A,MSC,,0.5,
R56,A,MSC,,0.5,
R55,A,MSC,,0.5,
R54,A,MSC,,1,
R58,A,MSC,,0.5,
R57,A,MSC,,1,
R59,A,MSC,,8,
R60,A,MSC,,10,
R61,A,MSC,,12,
R62,A,MSC,,6.5,
R63,A,MSC,<,0.125,
R64,A,MSC,<,0.125,
R65,A,MSC,,0.5,
R66,A,MSC,<,0.125,
R67,A,MSC,,5.5,
R68,A,MSC,,3.5,
R69,A,MSC,<,0.125,
R70,B,MSC,<,0.125,
R71,B,MSC,,3,
R72,B,MSC,,3.5,
R73,B,MSC,,8.5,
R74,B,MSC,,13,
R75,B,MSC,,6,
R51,A,TSC,<,0.125,
R52,A,TSC,<,0.125,
R53,A,TSC,,1.5,
R54,A,TSC,<,0.125,
R55,A,TSC,,5,
R56,A,TSC,<,0.125,
R57,A,TSC,,0.5,
R58,A,TSC,<,0.125,
R59,A,TSC,,3,
R60,A,TSC,,29,
R61,A,TSC,,8,
R62,A,TSC,,14.5,
R63,A,TSC,,2.5,
R64,A,TSC,<,0.125,
R65,A,TSC,,0.5,
R66,A,TSC,<,0.125,
R67,A,TSC,<,0.125,
R68,A,TSC,,0.5,
R69,A,TSC,<,0.125,
R70,B,TSC,,1.5,
R71,B,TSC,,0.5,
R72,B,TSC,,1,
R73,B,TSC,,4,
R74,B,TSC,,4.5,
R75,B,TSC,,4,
R29,B,TSC,<,0.125,
R30,B,TSC,,12.5,
R31,B,TSC,,4.5,
R32,B,TSC,,0.5,
R33,B,TSC,,5,
R34,B,TSC,,23,
R35,B,TSC,,16,
R37,B,TSC,,2.5,
R38,B,TSC,,5,
R42,B,TSC,,9,
R53,B,TSC,,7.5,
R54,B,TSC,,5,
R29,B,MSC,,1.5,
R30,B,MSC,,20.5,
R31,B,MSC,,3.5,
R32,B,MSC,,0.5,
R33,B,MSC,,6,
R34,B,MSC,,25.5,
R35,B,MSC,,14,
R37,B,MSC,,15.5,
R38,B,MSC,,3.5,
R42,B,MSC,,37,
R53,B,MSC,,16,
R54,B,MSC,,4.5,
R36,B,MSC,<,0.125,
R51,B,MSC,,4.5,
R76,B,MSC,<,0.125,
R77,B,MSC,,3.5,
R36,B,TSC,,1,
R51,B,TSC,,4,
R76,B,TSC,,0.5,
R77,B,TSC,,0.5,
R1,B,MSC,,4,
R2,B,MSC,,1,
R3,B,MSC,,18.5,
R4,B,MSC,,6,
R5,B,MSC,,6.5,
R6,B,MSC,,9,
R7,B,MSC,,15.5,
R8,B,MSC,,3.5,
R9,B,MSC,,2.5,
R10,B,MSC,,1,
R11,B,MSC,,6,
R12,B,MSC,,5,
R13,B,MSC,,5,
R39,B,MSC,,8,
R40,B,MSC,,5,
R41,B,MSC,,17.5,
R44,B,MSC,,5.5,
R45,B,MSC,,31,
R46,B,MSC,,5.5,
R47,B,MSC,,4.5,
R48,B,MSC,,19.5,
R49,B,MSC,,3.5,
R78,B,MSC,,12,
R79,B,MSC,,7,
R80,B,MSC,,2,
R1,B,TSC,,2,
R2,B,TSC,<,0.125,
R3,B,TSC,,11.5,
R4,B,TSC,,9,
R5,B,TSC,,3.5,
R6,B,TSC,,7,
R7,B,TSC,,13,
R8,B,TSC,<,0.125,
R9,B,TSC,,2,
R10,B,TSC,,0.5,
R11,B,TSC,,7,
R12,B,TSC,,2,
R13,B,TSC,,1,
R39,B,TSC,,5,
R40,B,TSC,,6,
R41,B,TSC,,10,
R44,B,TSC,,3.5,
R45,B,TSC,,19.5,
R46,B,TSC,,4.5,
R47,B,TSC,,6.5,
R48,B,TSC,,15,
R49,B,TSC,,4,
R78,B,TSC,,8,
R79,B,TSC,,6,
R80,B,TSC,,0.5,
R14,B,MSC,,1,
R15,B,MSC,,10,
R16,B,MSC,,3.5,
R17,B,MSC,,10.5,
R18,B,MSC,,41.5,
R19,B,MSC,,13,
R20,B,MSC,,1,
R21,B,MSC,,3.5,
R22,B,MSC,,1.5,
R23,B,MSC,,4.5,
R24,B,MSC,,95,
R25,B,MSC,,62,
R26,B,MSC,,7,
R27,B,MSC,,7,
R28,B,MSC,<,0.125,
R50,B,MSC,,2,
R55,B,MSC,,1.5,
R58,B,MSC,,8,
R59,B,MSC,,10.5,
R60,B,MSC,,9,
R61,B,MSC,,3.5,
R62,B,MSC,,1,
R63,B,MSC,,2,
R65,B,MSC,,1,
R66,B,MSC,,0.5,
R14,B,TSC,<,0.125,
R15,B,TSC,,6,
R16,B,TSC,<,0.125,
R17,B,TSC,,3.5,
R18,B,TSC,,7.5,
R19,B,TSC,,3.5,
R20,B,TSC,<,0.125,
R21,B,TSC,,3,
R22,B,TSC,,0.5,
R23,B,TSC,,2.5,
R24,B,TSC,,6.5,
R25,B,TSC,,2.5,
R26,B,TSC,,1.5,
R27,B,TSC,,4.5,
R28,B,TSC,,0.5,
R50,B,TSC,<,0.125,
R55,B,TSC,<,0.125,
R58,B,TSC,,2.5,
R59,B,TSC,,2,
R60,B,TSC,,26.5,
R61,B,TSC,<,0.125,
R62,B,TSC,,16.5,
R63,B,TSC,<,0.125,
R65,B,TSC,<,0.125,
R66,B,TSC,<,0.125,
R86,A,MSC,,3,
R68,B,MSC,<,0.125,
R69,B,MSC,<,0.125,
R81,B,MSC,,34.5,
R82,B,MSC,,12.5,
R83,B,MSC,,26,
R84,B,MSC,,30.5,
R85,B,MSC,,10.5,
R86,B,MSC,,7.5,
R87,B,MSC,,4.5,
R88,B,MSC,,7.5,
R89,B,MSC,,8.5,
R90,B,MSC,,3.5,
R29,C,MSC,,4.5,
R30,C,MSC,,34.5,
R31,C,MSC,,0.5,
R32,C,MSC,,1,
R35,C,MSC,,2.5,
R36,C,MSC,,10,
R37,C,MSC,,1,
R42,C,MSC,,35,
R38,C,MSC,,71.5,
R54,C,MSC,,9,
R70,C,MSC,,3,
R71,C,MSC,,0.5,
R86,A,TSC,,1,
R68,B,TSC,<,0.125,
R69,B,TSC,<,0.125,
R81,B,TSC,,5,
R82,B,TSC,,2,
R83,B,TSC,,7,
R84,B,TSC,,4,
R85,B,TSC,,3,
R86,B,TSC,,2.5,
R87,B,TSC,,7.5,
R88,B,TSC,<,0.125,
R89,B,TSC,,1.5,
R29,C,TSC,<,0.125,
R30,C,TSC,,6.5,
R90,B,TSC,,0.5,
R31,C,TSC,<,0.125,
R32,C,TSC,,1,
R35,C,TSC,,4,
R36,C,TSC,<,0.125,
R37,C,TSC,,2.5,
R38,C,TSC,,8.5,
R42,C,TSC,,24.5,
R54,C,TSC,,11.5,
R70,C,TSC,,2.5,
R71,C,TSC,,0.5,
R22,C,MSC,,2.5,
R23,C,MSC,,1.5,
R24,C,MSC,,11.5,
R25,C,MSC,,7.5,
R26,C,MSC,,1,
R27,C,MSC,,1,
R28,C,MSC,,9,
R34,C,MSC,,24,
R40,C,MSC,,4,
R41,C,MSC,,7.5,
R51,C,MSC,<,0.125,
R72,C,MSC,,2.5,
R73,C,MSC,,3.5,
R74,C,MSC,,12.5,
R75,C,MSC,,11,
R91,C,MSC,,4.5,
R92,C,MSC,,16,
R93,C,MSC,,6,
R94,C,MSC,,0.5,
R95,C,MSC,,31,
R96,C,MSC,,8.5,
R97,C,MSC,,3,
R98,C,MSC,,0.5,
R99,C,MSC,,8,
R100,C,MSC,,24.5,
R22,C,TSC,,3,
R23,C,TSC,,3,
R24,C,TSC,,8,
R25,C,TSC,,1.5,
R26,C,TSC,,2.5,
R27,C,TSC,<,0.125,
R28,C,TSC,,8.5,
R34,C,TSC,,11,
R40,C,TSC,,5.5,
R41,C,TSC,,5,
R51,C,TSC,<,0.125,
R72,C,TSC,,1.5,
R73,C,TSC,<,0.125,
R74,C,TSC,,5,
R75,C,TSC,,2.5,
R91,C,TSC,,8,
R92,C,TSC,,10.5,
R93,C,TSC,,8,
R94,C,TSC,,0.5,
R95,C,TSC,,12.5,
R96,C,TSC,,6,
R97,C,TSC,,2.5,
R98,C,TSC,<,0.125,
R99,C,TSC,,5,
R100,C,TSC,,24.5,
R1,C,MSC,,1,
R2,C,MSC,,0.5,
R3,C,MSC,,21.5,
R4,C,MSC,,34,
R5,C,MSC,,5.5,
R6,C,MSC,,12,
R7,C,MSC,,1,
R8,C,MSC,,3,SPREADER
R9,C,MSC,,31.5,
R10,C,MSC,,14.5,
R11,C,MSC,,2,
R12,C,MSC,,4.5,
R13,C,MSC,,8.5,SPREADER
R14,C,MSC,,3,
R15,C,MSC,,20,
R16,C,MSC,,14,
R17,C,MSC,,11,
R18,C,MSC,,50.5,SPREADER
R19,C,MSC,,18,
R20,C,MSC,,1.5,
R21,C,MSC,,48,
R33,C,MSC,<,0.125,
R39,C,MSC,,7,
R52,C,MSC,,4.5,
R53,C,MSC,,10,
R1,C,TSC,,2,
R2,C,TSC,,0.5,
R3,C,TSC,,9,
R4,C,TSC,,12,
R5,C,TSC,<,0.125,
R6,C,TSC,,3,
R7,C,TSC,<,0.125,
R8,C,TSC,<,0.125,
R9,C,TSC,,21.5,
R10,C,TSC,,5.5,
R11,C,TSC,,1,
R12,C,TSC,,4.5,
R13,C,TSC,,3.5,
R14,C,TSC,,2.5,
R15,C,TSC,,16.5,
R16,C,TSC,,14,
R17,C,TSC,,6,
R18,C,TSC,,17.5,
R19,C,TSC,,10.5,
R20,C,TSC,<,0.125,
R21,C,TSC,,31,
R33,C,TSC,,2,
R39,C,TSC,,6.5,
R52,C,TSC,,5.5,
R53,C,TSC,,7.5,
R44,C,MSC,,12.5,
R45,C,MSC,,6,
R46,C,MSC,,29.5,
R47,C,MSC,,4,
R48,C,MSC,,45.5,
R49,C,MSC,,6.5,
R50,C,MSC,,5.5,
R57,C,MSC,,5,
R58,C,MSC,,16.5,
R59,C,MSC,,10,
R60,C,MSC,,4,
R61,C,MSC,,6,
R62,C,MSC,,16.5,
R63,C,MSC,,3.5,
R65,C,MSC,,3.5,
R78,C,MSC,,33,
R79,C,MSC,,47,
R80,C,MSC,,54,
R81,C,MSC,,7.5,
R82,C,MSC,,17,
R83,C,MSC,,18.5,
R84,C,MSC,,13.5,
R87,C,MSC,,8,
R88,C,MSC,,3,
R89,C,MSC,,13,
R44,C,TSC,,22,
R45,C,TSC,,4.5,
R46,C,TSC,,12.5,
R47,C,TSC,,2.5,
R48,C,TSC,,26.5,
R49,C,TSC,,6.5,
R50,C,TSC,,1,
R57,C,TSC,,6.5,
R58,C,TSC,,8.5,
R59,C,TSC,,16.5,
R60,C,TSC,,8,
R61,C,TSC,,5,
R62,C,TSC,,21,
R63,C,TSC,,1.5,
R65,C,TSC,,1.5,
R78,C,TSC,,33.5,
R79,C,TSC,,41,
R80,C,TSC,,22.5,
R81,C,TSC,,7,
R82,C,TSC,,6.5,
R83,C,TSC,,11.5,
R84,C,TSC,,11,
R87,C,TSC,,9,
R88,C,TSC,,3,
R89,C,TSC,,12,
R56,C,MSC,,3.5,
R67,C,MSC,,8,
R68,C,MSC,,0.5,
R69,C,MSC,<,0.125,
R77,C,MSC,,3,
R85,C,MSC,,11.5,
R86,C,MSC,,5.5,
R90,C,MSC,,3.5,
R101,C,MSC,,36.5,
R102,C,MSC,,59,
R56,C,TSC,,1,
R67,C,TSC,,1,
R68,C,TSC,<,0.125,
R69,C,TSC,<,0.125,
R77,C,TSC,,2,
R85,C,TSC,,18,
R86,C,TSC,,16.5,
R90,C,TSC,,1,
R101,C,TSC,,62.5,
R102,C,TSC,,7.5,
R29,D,MSC,,1,
R30,D,MSC,,1.5,
R31,D,MSC,,6,
R32,D,MSC,,19.5,
R35,D,MSC,,12,
R36,D,MSC,,5,
R37,D,MSC,,2,
R38,D,MSC,,6.5,
R39,D,MSC,,4,
R40,D,MSC,,14,
R41,D,MSC,,5,
R42,D,MSC,,79.5,
R54,D,MSC,,5.5,
R70,D,MSC,<,0.125,
R71,D,MSC,,8.5,
R91,D,MSC,,14,
R92,D,MSC,,3.5,
R93,D,MSC,,3,
R94,D,MSC,,13,
R95,D,MSC,,11.5,
R96,D,MSC,,13.5,
R97,D,MSC,,7,
R98,D,MSC,,5,
R99,D,MSC,,23,
R100,D,MSC,,20,
R29,D,TSC,<,0.125,
R30,D,TSC,,1.5,
R31,D,TSC,<,0.125,
R32,D,TSC,<,0.125,
R35,D,TSC,,5,
R36,D,TSC,,5,
R37,D,TSC,,2,
R38,D,TSC,,6,
R39,D,TSC,,12,
R40,D,TSC,,1.5,
R41,D,TSC,,7,
R42,D,TSC,,49.5,
R54,C,TSC,,3.5,
R70,D,TSC,<,0.125,
R71,D,TSC,,13.5,
R91,D,TSC,,6,
R92,D,TSC,,2,
R93,D,TSC,,2,
R94,D,TSC,,11,
R95,D,TSC,,16.5,
R96,D,TSC,,11.5,
R97,D,TSC,,4,
R98,D,TSC,,4,
R99,D,TSC,,17,
R100,D,TSC,,9,
R2,D,MSC,<,0.125,
R3,D,MSC,,9.5,
R4,D,MSC,,3.5,
R5,D,MSC,,2.5,
R6,D,MSC,,3.5,
R7,D,MSC,,4,
R8,D,MSC,,6,
R9,D,MSC,,3,
R10,D,MSC,,1,
R11,D,MSC,,4,
R12,D,MSC,,3.5,
R13,D,MSC,,18,
R14,D,MSC,,2,
R15,D,MSC,,5.5,
R16,D,MSC,,8.5,
R17,D,MSC,,7,
R18,D,MSC,,1,
R19,D,MSC,,29.5,
R20,D,MSC,,0.5,
R21,D,MSC,,9.5,
R22,D,MSC,,9,
R23,D,MSC,,8,
R24,D,MSC,,26.5,
R25,D,MSC,,2,
R1,D,MSC,,1.5,
R1,D,TSC,,1,
R2,D,TSC,,0.5,
R3,D,TSC,,4,
R4,D,TSC,,2.5,
R5,D,TSC,<,0.125,
R6,D,TSC,<,0.125,
R7,D,TSC,,3,
R8,D,TSC,,1.5,
R9,D,TSC,<,0.125,
R10,D,TSC,,1,
R11,D,TSC,,3,
R12,D,TSC,,1,
R13,D,TSC,,6,
R14,D,TSC,,1,
R15,D,TSC,,4.5,
R16,D,TSC,,3.5,
R17,D,TSC,,3,
R18,D,TSC,,0.5,
R19,D,TSC,,18.5,
R20,D,TSC,,1,
R21,D,TSC,,8.5,
R22,D,TSC,,4,
R23,D,TSC,,2.5,
R24,D,TSC,,7.5,
R25,D,TSC,,1,
R26,D,TSC,,1,
R27,D,TSC,,2.5,
R28,D,TSC,,1.5,
R33,D,TSC,,4,
R44,D,TSC,,5,
R45,D,TSC,,2.5,
R26,D,TSC,,6.5,
R27,D,TSC,,2.5,
R28,D,TSC,,6.5,
R33,D,TSC,,5.5,
R44,D,TSC,,11.5,
R45,D,TSC,,2,
R46,D,TSC,,6.5,
R47,D,TSC,,4,
R48,D,TSC,,12.5,
R49,D,TSC,,7.5,
R51,D,TSC,,5,
R53,D,TSC,,7,
R56,D,TSC,,8.5,
R58,D,TSC,,8,
R59,D,TSC,,3.5,
R60,D,TSC,,8,
R61,D,TSC,,3.5,
R62,D,TSC,,27,
R63,D,TSC,,7.5,
R65,D,TSC,,3,
R66,D,TSC,,1,
R67,D,TSC,,1,
R68,D,TSC,,0.5,
R69,D,TSC,<,0.125,
R72,D,TSC,,11.5,
R73,D,MSC,,29,
R74,D,MSC,,25,
R75,D,MSC,,19,
R76,D,MSC,,5,
R77,D,MSC,,0.5,
R78,D,MSC,,9,SPREADER
R79,D,MSC,,47,
R80,D,MSC,,31,
R83,D,MSC,,19,
R84,D,MSC,,10,
R85,D,MSC,,24.5,SPREADER
R86,D,MSC,,18.5,
R87,D,MSC,,10.5,
R88,D,MSC,,1,
R89,D,MSC,,27,
R90,D,MSC,,12,
R101,D,MSC,,46.5,
R76,C,MSC,,0.5,
R73,D,TSC,,8,
R74,D,TSC,,8,SPREADER
R75,D,TSC,,13,
R76,D,TSC,<,0.125,
R77,D,TSC,,0.5,
R78,D,TSC,,18.5,
R79,D,TSC,,24.5,
R80,D,TSC,,13,
R83,D,TSC,,13,
R84,D,TSC,,10,
R85,D,TSC,,21,
R86,D,TSC,,18.5,
R87,D,TSC,,8,
R88,D,TSC,,0.5,
R89,D,TSC,,15,
R90,D,TSC,,6,
R101,D,TSC,,21.5,
R76,C,TSC,<,0.125,
R73,D,APC,,1190,
R74,D,APC,,1170,
R75,D,APC,,1460,
R76,D,APC,,530,
R77,D,APC,,660,
R78,D,APC,,700,
R79,D,APC,,1720,
R80,D,APC,,2410,
R83,D,APC,,1170,
R84,D,APC,,6790,
R85,D,APC,,5220,
R86,D,APC,,1070,
R87,D,APC,,220,
R88,D,APC,,630,
R89,D,APC,,9780,
R90,D,APC,,1760,
R101,D,APC,,1020,
R76,C,APC,,180,
R29,E,MSC,<,0.125,
R30,E,MSC,,8,
R31,E,MSC,<,0.125,
R32,E,MSC,<,0.125,
R33,E,MSC,,198,
R34,E,MSC,,26,
R35,E,MSC,,16.5,
R36,E,MSC,,6,
R37,E,MSC,,3,
R39,E,MSC,<,0.125,
R40,E,MSC,,2,
R42,E,MSC,,296,
R44,E,MSC,,13,
R45,E,MSC,,17,
R46,E,MSC,,46,
R47,E,MSC,,2.5,
R48,E,MSC,,13.5,
R49,E,MSC,,15,
R50,E,MSC,,2.5,
R53,E,MSC,,2,
R54,E,MSC,,3.5,
R55,E,MSC,,2,
R58,E,MSC,,24.5,
R59,E,MSC,,43,
R29,E,TSC,<,0.125,
R30,E,TSC,,4,
R31,E,TSC,,1,
R32,E,TSC,<,0.125,
R33,E,TSC,,2.5,
R34,E,TSC,,8,
R35,E,TSC,,6,
R36,E,TSC,,2.5,
R37,E,TSC,,4,
R38,E,TSC,,6.5,
R39,E,TSC,,9,
R40,E,TSC,,6,
R42,E,TSC,,31,
R44,E,TSC,,4.5,SPREADER
R45,E,TSC,,3,
R46,E,TSC,,11,
R47,E,TSC,,2,SPREADER
R48,E,TSC,,3,
R49,E,TSC,,3,
R50,E,TSC,<,0.125,
R53,E,TSC,,5.5,
R54,E,TSC,,0.5,
R55,E,TSC,,2.5,
R58,E,TSC,,10,
R59,E,TSC,,16.5,
R29,E,APC,,650,
R30,E,APC,,540,
R31,E,APC,,530,
R32,E,APC,,770,
R33,E,APC,,1550,
R34,E,APC,,4340,
R35,E,APC,,670,
R36,E,APC,,370,
R37,E,APC,,4100,
R38,E,APC,,5840,
R39,E,APC,,1100,
R40,E,APC,,1350,
R42,E,APC,,3970,
R44,E,APC,,450,
R45,E,APC,,1880,
R46,E,APC,,1440,
R47,E,APC,,23700,
R48,E,APC,,700,
R49,E,APC,,1590,
R50,E,APC,,1590,
R53,E,APC,,3330,
R54,E,APC,,850,
R55,E,APC,,1420,
